drive_aperature_setting	photodiode(A)
12000 4.5255e-09
11850 4.6076e-09
11700 4.5916e-09
11550 4.5525e-09
11400 4.5285e-09
11250 4.5125e-09
11100 4.4925e-09
10950 4.4675e-09
10800 4.3894e-09
10650 4.3423e-09
10500 4.3123e-09
10350 4.2753e-09
10200 4.2422e-09
10050 4.1602e-09
9900 4.1081e-09
9750 4.042e-09
9600 4.1542e-09
9450 4.011e-09
9300 3.8579e-09
9150 3.6917e-09
9000 3.4204e-09
8850 3.3113e-09
8700 3.1451e-09
8550 2.8959e-09
8400 2.6807e-09
8250 2.4474e-09
8100 2.2222e-09
7950 2.02e-09
7800 1.8388e-09
7650 1.7017e-09
7500 1.5515e-09
7350 1.4585e-09
7200 1.3784e-09
7050 1.3033e-09
6900 1.2312e-09
6750 1.1582e-09
6600 1.0921e-09
6450 1.021e-09
6300 9.5495e-10
6150 8.8488e-10
6000 8.5385e-10
5850 7.8078e-10
5700 7.1672e-10
5550 6.4765e-10
5400 5.9459e-10
5250 5.4755e-10
5100 5.035e-10
4950 4.6046e-10
4800 4.1842e-10
4650 3.8238e-10
4500 3.4635e-10
4350 3.0831e-10
4200 2.7728e-10
4050 2.4725e-10
3900 2.1822e-10
3750 1.9119e-10
3600 1.6617e-10
3450 1.4414e-10
3300 1.2312e-10
3150 1.0511e-10
3000 8.8088e-11
2850 7.4074e-11
2700 6.1061e-11
2550 5.005e-11
2400 4.004e-11
2250 3.2032e-11
2100 2.5025e-11
1950 1.9019e-11
1800 1.5015e-11
1650 1.2012e-11
1500 1.2012e-11
1350 1.1011e-11
1200 1.1011e-11
1050 1.1011e-11
900 1.1011e-11
750 1.1011e-11
600 1.1011e-11
450 1.1011e-11
300 1.1011e-11
150 1.1011e-11
0 1.1011e-11
-150 1.1011e-11
-300 1.1011e-11
-450 1.1011e-11
